Seq_636_LinJ.20,,,,,,,,
Seq_637_LinJ.20,Seq_638_LinJ.20,Seq_639_LinJ.20,Seq_640_LinJ.20,,,,,
Seq_641_LinJ.20,,,,,,,,
Seq_642_LinJ.20,,,,,,,,
Seq_643_LinJ.20,Seq_644_LinJ.20,Seq_645_LinJ.20,Seq_646_LinJ.20,Seq_647_LinJ.20,,,,
Seq_648_LinJ.20,,,,,,,,
Seq_650_LinJ.20,Seq_652_LinJ.20,Seq_654_LinJ.20,,,,,,
Seq_651_LinJ.20,,,,,,,,
Seq_649_LinJ.20,Seq_653_LinJ.20,Seq_659_LinJ.20,,,,,,
Seq_655_LinJ.20,,,,,,,,
Seq_656_LinJ.20,,,,,,,,
Seq_658_LinJ.20,Seq_661_LinJ.20,Seq_662_LinJ.20,,,,,,
Seq_660_LinJ.20,,,,,,,,
Seq_657_LinJ.20,Seq_663_LinJ.20,Seq_664_LinJ.20,Seq_665_LinJ.20,Seq_666_LinJ.20,Seq_667_LinJ.20,Seq_668_LinJ.20,Seq_669_LinJ.20,Seq_671_LinJ.20
Seq_670_LinJ.20,,,,,,,,
Seq_672_LinJ.20,Seq_673_LinJ.20,Seq_675_LinJ.20,,,,,,
Seq_674_LinJ.20,Seq_676_LinJ.20,,,,,,,
Seq_677_LinJ.20,,,,,,,,
Seq_678_LinJ.20,,,,,,,,
